Model,Task,Analyte,auroc,auprc,f1,precision,recall,accuracy,balanced_accuracy,brier_score,ece,f1_optimized,precision_optimized,recall_optimized,optimal_threshold,rmse,mae,r2,explained_variance,median_ae,detected_rmse,censored_rmse,concordance_index,subset_accuracy,hamming_loss,macro_auroc,micro_auroc,macro_auprc,micro_auprc,macro_f1,micro_f1,label_ranking_avg_precision,mean_per_label_auroc,auroc_PFOS,auprc_PFOS,auroc_PFOA,auprc_PFOA,auroc_PFBS,auprc_PFBS,auroc_PFHxS,auprc_PFHxS,auroc_HFPO-DA,auprc_HFPO-DA
xgboost_default,T3,all,,,,,,,,,,,,,,,,,,,,,,0.6270161290322581,0.15274193548387097,,0.7553494130433571,0.35825861718384516,0.426373399410028,0.2927240492405681,0.3622895622895623,0.9082862903225818,0.6917968834165786,0.8021743274441517,0.5850059608699189,0.7986589774406088,0.5332005236780812,0.39905819883508753,0.2258860402937754,0.7672960299464667,0.44720056107745004,,
random_forest_classifier,T3,all,,,,,,,,,,,,,,,,,,,,,,0.6149193548387096,0.16919354838709677,,0.7048888842646395,0.35494215431750387,0.41411980642548535,0.3198133699583117,0.40901408450704224,0.9040815412186316,0.6816203904409279,0.8093424066470394,0.5888560565534626,0.8048320515317491,0.5069296583206775,0.3390025494500656,0.21129729249533388,0.7733045541348574,0.4676277642180455,,
mlp_classifier,T3,all,,,,,,,,,,,,,,,,,,,,,,0.6387096774193548,0.1613709677419355,,0.64595680245233,0.2095896582293182,0.2194920816937274,0.02492393103080126,0.04028776978417266,0.8853696236559092,0.6202922332517995,0.6882480617340357,0.28634657374430467,0.7015708205271934,0.2810328303921223,0.44989537071609365,0.2288274870700795,0.6414546800298749,0.2517413999400845,,
cnn1d_classifier,T3,all,,,,,,,,,,,,,,,,,,,,,,0.6665322580645161,0.1554032258064516,,0.7188221847547392,0.20687453462979355,0.24495836854495545,0.0038314176245210726,0.005162622612287042,0.9003942652329789,0.6669120252890943,0.6738070095281897,0.2727592832928632,0.7134728113970291,0.2574074752057502,0.6401339768577087,0.27561671189355474,0.6402343033734498,0.22858920275679967,,
lightgbm_classifier,T3,all,,,,,,,,,,,,,,,,,,,,,,0.5866935483870968,0.16943548387096774,,0.7657041169803235,0.36977733532072177,0.4221395910517451,0.2072004820144448,0.36003655193420653,0.9057325268817208,0.6905788105832187,0.8062712372122859,0.5939713930949828,0.8076246609440837,0.5485438254611316,0.3573592321008698,0.23804288472151836,0.7910601120756354,0.46832857332597594,,
catboost_classifier,T3,all,,,,,,,,,,,,,,,,,,,,,,0.6443548387096775,0.14717741935483872,,0.7631490753580962,0.3842227746589435,0.45679371330743773,0.31214344049994797,0.39105772439105774,0.9084789426523314,0.7086109550830707,0.810863871045176,0.6052081705727508,0.827462697911273,0.5584404298998583,0.3873535717529373,0.23511675921334035,0.8087636796228964,0.522348513608768,,
gnn_gcn_classifier,T3,all,,,,,,,,,,,,,,,,,,,,,,0.6125,0.1571774193548387,,0.7528044523954984,0.345134419100829,0.4000029202709885,0.2881366486184397,0.35697789508413064,0.9086480734767035,0.686926444162191,0.7875950978285975,0.5333628272671215,0.8022157986993553,0.5129077457916483,0.38478990201268026,0.2357488929959138,0.7731049781081312,0.4436526294494614,,
gnn_sage_classifier,T3,all,,,,,,,,,,,,,,,,,,,,,,0.6125,0.1571774193548387,,0.7528044523954984,0.345134419100829,0.4000029202709885,0.2881366486184397,0.35697789508413064,0.9086480734767035,0.686926444162191,0.7875950978285975,0.5333628272671215,0.8022157986993553,0.5129077457916483,0.38478990201268026,0.2357488929959138,0.7731049781081312,0.4436526294494614,,
deep_tobit_classifier,T3,all,,,,,,,,,,,,,,,,,,,,,,0.6532258064516129,0.1558064516129032,,0.7533291359972727,0.2596735018585385,0.3211424528669675,0.1187975847036451,0.15114235500878734,0.930192652329748,0.6772825199839868,0.671140286380246,0.32741447380702204,0.7001801568564113,0.28796520558714844,0.6450264623559341,0.3275206748250125,0.6927831743433557,0.3554671550735095,,
tabpfn_classifier,T3,all,,,,,,,,,,,,,,,,,,,,,,0.6532258064516129,0.1558064516129032,,0.7533291359972727,0.2596735018585385,0.3211424528669675,0.1187975847036451,0.15114235500878734,0.930192652329748,0.6772825199839868,0.671140286380246,0.32741447380702204,0.7001801568564113,0.28796520558714844,0.6450264623559341,0.3275206748250125,0.6927831743433557,0.3554671550735095,,
